Date,Open,High,Low,Close,Volume,Adj Close
6/30/1983,49.125,50,48.625001,48.875,27641600,0.741777
7/1/1983,48.875,49.75,48.625001,49.249999,43064000,0.747468
7/5/1983,49.249999,49.374999,47.125,47.25,20512800,0.717114
7/6/1983,47.25,47.499999,46.375,47.375,23979200,0.719011
7/7/1983,47.375,47.499999,46.5,46.749999,22360800,0.709525
7/8/1983,46.749999,46.749999,46.000001,46.25,17544800,0.701937
7/11/1983,46.25,48.25,46.25,47.499999,28229600,0.720908
7/12/1983,47.499999,48,46.125001,46.375,18799200,0.703834
7/13/1983,46.375,46.5,45.375,46.125001,32250400,0.70004
7/14/1983,46.125001,46.875001,45.749999,46.000001,18726400,0.698143
7/15/1983,46.000001,46.000001,44.124999,44.375001,16990400,0.67348
7/18/1983,44.375001,44.5,43.249999,44.250001,20406400,0.671583
7/19/1983,44.250001,46.375,43.375001,43.75,42784000,0.663994
7/20/1983,43.75,44.124999,40.750001,41.25,76221600,0.626052
7/21/1983,41.25,44.375001,41,43.375001,79346400,0.658303
7/22/1983,43.375001,43.875,43.249999,43.75,29108800,0.663994
7/25/1983,43.75,43.75,42.500001,43.124999,19107200,0.654509
7/26/1983,43.124999,43.375001,37.5,39.125001,67244800,0.593801
7/27/1983,39.125001,40.375,35.75,36.249999,75079200,0.550167
7/28/1983,36.249999,36.75,34,34,67620000,0.516019
7/29/1983,34,35.249999,33.875001,34.875,55081600,0.529298
8/1/1983,34.875,36.375001,34.25,34.499999,58111200,0.523607
8/2/1983,34.499999,35,34.25,34.374999,25412800,0.52171
8/3/1983,34.374999,35.625001,33.875001,34.875,30956800,0.529298
8/4/1983,34.875,35.249999,31.749999,33.25,73029600,0.504636
8/5/1983,33.25,34.499999,33.000001,33.875001,32855200,0.514121
8/8/1983,33.875001,34.750001,33.125,34,19202400,0.516019
8/9/1983,34,34.875,33.750001,34.374999,37592800,0.52171
8/10/1983,34.374999,34.625001,33.499999,34.25,40493600,0.519813
8/11/1983,34.25,34.750001,33.25,33.750001,22545600,0.512224
8/12/1983,33.750001,34.499999,33.125,33.499999,18659200,0.50843
8/15/1983,33.499999,34.374999,33.375,34.374999,38068800,0.52171
8/16/1983,34.374999,34.750001,33.499999,33.875001,22842400,0.514121
8/17/1983,33.875001,34.25,32.749999,33.125,23609600,0.502739
8/18/1983,33.125,33.875001,33.000001,33.499999,20434400,0.50843
8/19/1983,33.499999,34,33.25,33.750001,14649600,0.512224
8/22/1983,33.750001,34.125,33.25,33.624999,21341600,0.510327
8/23/1983,33.624999,33.624999,31.625,31.874999,23396800,0.483767
8/24/1983,31.749999,31.749999,30.124999,30.250001,28324800,0.459105
8/25/1983,30.250001,30.75,29.999999,30.5,47443200,0.462899
8/26/1983,30.5,30.999999,30.250001,30.874999,23296000,0.46859
8/29/1983,30.874999,31.625,29.999999,31.250001,34574400,0.474282
8/30/1983,31.250001,33.499999,31.250001,32.875001,58486400,0.498944
8/31/1983,33.125,37.250001,33.125,37.250001,50058400,0.565344
9/1/1983,37.250001,38.5,35.500001,36.375001,54532800,0.552064
9/2/1983,36.375001,37.999999,36.249999,37.999999,32334400,0.576727
9/6/1983,38.749999,39.749999,38.749999,39.375,45421600,0.597595
9/7/1983,39.25,39.25,33.875001,34.625001,96213600,0.525504
9/8/1983,34.625001,35,31.250001,31.749999,76764800,0.48187
9/9/1983,31.749999,31.874999,30.5,30.625,53172000,0.464796
9/12/1983,30.625,32.5,30.250001,30.625,66578400,0.464796
9/13/1983,30.625,32.5,30.375001,32.000001,51044000,0.485665
9/14/1983,32.000001,32.749999,30.999999,31.625,45382400,0.479973
9/15/1983,31.625,31.749999,29.75,30.124999,39709600,0.457208
9/16/1983,30.124999,30.124999,29.124999,29.375001,56436800,0.445825
9/19/1983,29.375001,32.25,29.249999,32.000001,50495200,0.485665
9/20/1983,32.000001,33.499999,32.000001,32.125001,56604800,0.487562
9/21/1983,32.125001,32.624999,31.375,31.5,26588800,0.478076
9/22/1983,31.5,32.624999,31.125001,32.5,36030400,0.493253
9/26/1983,25.875,25.875,24.375,24.875,192192000,0.377528
9/27/1983,24.875,25,23.000001,23.5,104277600,0.35666
9/28/1983,23.5,23.5,22.125001,22.875,93374400,0.347174
9/29/1983,22.875,23.75,22.625,22.75,70694400,0.345277
9/30/1983,22.75,23.625,22.499999,23.125,29467200,0.350968
10/3/1983,23.125,23.5,22.625,23.125,38225600,0.350968
10/4/1983,23.125,23.625,22.75,22.875,42403200,0.347174
10/5/1983,22.875,23.25,22.125001,22.499999,47667200,0.341483
10/6/1983,22.499999,22.875,21.75,22.25,58234400,0.337689
10/7/1983,22.25,23.75,20.125,20.375001,61583200,0.309232
10/10/1983,20.125,20.125,18.375,19.75,129281600,0.299746
10/11/1983,19.75,19.874999,19.125,19.375,63190400,0.294055
10/12/1983,19.375,21.250001,19.25,21.125,118154400,0.320614
10/13/1983,21.75,24,21.75,23.000001,105128800,0.349071
10/14/1983,23.000001,23.75,22.499999,22.75,69815200,0.345277
10/17/1983,22.75,22.75,20.875,21,54779200,0.318717
10/18/1983,20.749999,20.749999,18.875,19.375,95743200,0.294055
10/19/1983,19.375,22.25,19.125,21.5,71848000,0.326306
10/20/1983,21.5,22.125001,19.874999,20.375001,32922400,0.309232
10/21/1983,20.375001,20.875,19.625,19.874999,39250400,0.301643
10/24/1983,19.874999,21.125,17.875,21.125,64848000,0.320614
10/25/1983,21.125,21.875,21,21.250001,42112000,0.322512
10/26/1983,21.250001,21.5,20,20.125,32228000,0.305437
10/27/1983,20.125,21.624999,20.125,21.125,24460800,0.320614
10/28/1983,21.125,21.375,20.375001,20.875,20300000,0.31682
10/31/1983,21.125,23.000001,21.125,22.625,43293600,0.34338
11/1/1983,22.625,24,21.624999,23.000001,82096000,0.349071
11/2/1983,23.000001,24.125,23.000001,23.5,50618400,0.35666
11/3/1983,23.5,23.625,21,21.875,71500800,0.331997
11/4/1983,21.875,22,21,21.125,36685600,0.320614
11/7/1983,21.125,21.624999,20.749999,21,38029600,0.318717
11/8/1983,19.500001,19.500001,17.249999,17.875,305379200,0.271289
11/9/1983,17.875,19.25,17.5,19.25,88368000,0.292158
11/10/1983,19.25,20.125,19.25,19.625,55518400,0.297849
11/11/1983,19.625,20.375001,19.500001,20,29008000,0.30354
11/14/1983,20,20.25,19.625,19.75,27070400,0.299746
11/15/1983,19.75,19.874999,18.999999,19.75,29657600,0.299746
11/16/1983,19.75,20.5,19.625,20,25569600,0.30354
11/17/1983,20,20.749999,20,20.5,22596000,0.311129
11/18/1983,20.5,20.875,20.25,20.625,19975200,0.313026
11/21/1983,20.625,21.624999,20.625,21.5,26252800,0.326306
11/22/1983,21.5,21.75,21.250001,21.5,26297600,0.326306
11/23/1983,21.5,21.5,20,20.375001,28588000,0.309232
11/25/1983,20.375001,20.625,20.375001,20.5,9324000,0.311129
11/28/1983,20.5,21.125,20.375001,21,18099200,0.318717
11/29/1983,21,21.5,20.5,20.749999,23822400,0.314923
11/30/1983,20.749999,21,20.375001,20.375001,16083200,0.309232
12/1/1983,20.375001,20.875,20,20.25,19168800,0.307335
12/2/1983,20.25,20.25,19.75,19.874999,21341600,0.301643
12/5/1983,19.874999,20.5,19.75,20.375001,11289600,0.309232
12/6/1983,20.375001,20.625,20.25,20.5,12997600,0.311129
12/7/1983,20.5,21.5,20.25,21,22288000,0.318717
12/8/1983,21,22.125001,21,21.5,34406400,0.326306
